Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,3338.854980,3354.695068,3264.360107,3270.540039,3270.540039,3711308
2021-05-06,3270.000000,3314.399902,3247.199951,3306.370117,3306.370117,4447696
2021-05-07,3319.090088,3330.889893,3289.070313,3291.610107,3291.610107,4710276
2021-05-10,3282.320068,3283.000000,3190.000000,3190.489990,3190.489990,5838603
2021-05-11,3136.280029,3238.000000,3127.370117,3223.909912,3223.909912,4619781
2021-05-12,3185.000000,3207.939941,3133.100098,3151.939941,3151.939941,4936410
2021-05-13,3185.469971,3203.840088,3133.000000,3161.469971,3161.469971,3356877
2021-05-14,3185.560059,3228.860107,3183.000000,3222.899902,3222.899902,3325022
2021-05-17,3245.929932,3292.750000,3234.590088,3270.389893,3270.389893,3723925
2021-05-18,3292.574951,3312.000000,3230.370117,3232.280029,3232.280029,2828391
2021-05-19,3195.000000,3234.750000,3184.000000,3231.800049,3231.800049,2679708
2021-05-20,3244.404297,3259.679932,3236.179932,3247.679932,3247.679932,2633192
2021-05-21,3250.000000,3256.694580,3197.010010,3203.080078,3203.080078,4104882
2021-05-24,3215.500000,3257.949951,3210.499268,3244.989990,3244.989990,2422813
2021-05-25,3266.669922,3279.820068,3213.760010,3259.050049,3259.050049,3261109
2021-05-26,3274.590576,3295.729980,3258.510010,3265.159912,3265.159912,2383986
2021-05-27,3256.000000,3260.354980,3230.040039,3230.110107,3230.110107,2561157
2021-05-28,3242.000000,3247.989990,3219.699951,3223.070068,3223.070068,2331509
2021-06-01,3243.495117,3250.979980,3209.060059,3218.649902,3218.649902,2430045
2021-06-02,3223.100098,3235.000000,3208.000000,3233.989990,3233.989990,2014524
2021-06-03,3204.229980,3214.435059,3184.030029,3187.010010,3187.010010,2398293
2021-06-04,3212.000000,3221.000000,3198.810059,3206.219971,3206.219971,2249749
2021-06-07,3197.330078,3208.000000,3172.199951,3198.010010,3198.010010,2215756
2021-06-08,3222.610107,3279.531982,3218.010010,3264.110107,3264.110107,3416730
2021-06-09,3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455530
2021-06-10,3282.010010,3351.000000,3281.149902,3349.649902,3349.649902,3476480
2021-06-11,3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817352
2021-06-14,3346.830078,3385.000000,3335.500000,3383.870117,3383.870117,2569655
2021-06-15,3384.000000,3396.986572,3363.110107,3383.129883,3383.129883,2426200
2021-06-16,3392.000000,3426.350098,3360.530029,3415.250000,3415.250000,4202782
2021-06-17,3403.179932,3497.199951,3401.000000,3489.239990,3489.239990,5136531
2021-06-18,3479.989990,3507.000000,3473.709961,3486.899902,3486.899902,5247737
2021-06-21,3476.419922,3482.000000,3434.000000,3453.959961,3453.959961,3277130
2021-06-22,3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345082
2021-06-23,3505.000000,3521.000000,3483.199951,3503.820068,3503.820068,2813341
2021-06-24,3507.639893,3524.859863,3430.850098,3449.080078,3449.080078,3831999
2021-06-25,3464.000000,3464.820068,3394.179932,3401.459961,3401.459961,3940997
2021-06-28,3416.000000,3448.000000,3413.509766,3443.889893,3443.889893,2242793
2021-06-29,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098439
2021-06-30,3441.060059,3471.601807,3435.000000,3440.159912,3440.159912,2403992
2021-07-01,3434.610107,3457.000000,3409.420654,3432.969971,3432.969971,2037053
2021-07-02,3451.639893,3511.719971,3436.919922,3510.979980,3510.979980,3176697
2021-07-06,3530.110107,3685.479980,3529.000000,3675.739990,3675.739990,6744768
2021-07-07,3717.377197,3734.199951,3678.909912,3696.580078,3696.580078,5328062
2021-07-08,3643.560059,3759.985596,3621.120117,3731.409912,3731.409912,5180623
2021-07-09,3722.520020,3748.000000,3693.396729,3719.340088,3719.340088,3748237
2021-07-12,3744.000000,3757.289795,3696.792969,3718.550049,3718.550049,2571635
2021-07-13,3702.100098,3773.078125,3671.320068,3677.360107,3677.360107,3845917
2021-07-14,3708.850098,3717.659912,3660.826660,3681.679932,3681.679932,3296568
2021-07-15,3694.199951,3695.399902,3620.919922,3631.199951,3631.199951,3185292
2021-07-16,3633.310059,3646.059814,3570.455078,3573.629883,3573.629883,4043706
2021-07-19,3532.580078,3550.209961,3499.159912,3549.590088,3549.590088,3784595
2021-07-20,3567.320068,3592.000000,3518.000000,3573.189941,3573.189941,3255680
2021-07-21,3576.375000,3586.449951,3543.641602,3585.199951,3585.199951,2318989
2021-07-22,3587.229980,3640.020020,3582.270020,3638.030029,3638.030029,3265352
2021-07-23,3640.000000,3666.110107,3622.040039,3656.639893,3656.639893,2436292
2021-07-26,3673.169922,3712.080078,3647.250000,3699.820068,3699.820068,2900068
2021-07-27,3698.500000,3698.500000,3586.149902,3626.389893,3626.389893,4131890
2021-07-28,3633.780029,3658.420410,3601.000000,3630.320068,3630.320068,2999378
2021-07-29,3627.750000,3637.949951,3580.010010,3599.919922,3599.919922,5519952
2021-07-30,3347.949951,3368.139893,3306.979980,3327.590088,3327.590088,9965593
2021-08-02,3353.100098,3358.919922,3317.000000,3331.479980,3331.479980,3353915
2021-08-03,3340.719971,3391.000000,3299.770020,3366.239990,3366.239990,4157343
2021-08-04,3379.350098,3388.879883,3345.560059,3354.719971,3354.719971,2183945
2021-08-05,3356.219971,3389.000000,3340.919922,3375.989990,3375.989990,2433503
2021-08-06,3375.000000,3375.000000,3329.037354,3344.939941,3344.939941,2637644
2021-08-09,3343.610107,3354.879883,3328.520020,3341.870117,3341.870117,2148220
2021-08-10,3345.010010,3358.000000,3315.000000,3320.679932,3320.679932,2412551
2021-08-11,3331.447021,3337.699951,3277.790039,3292.110107,3292.110107,2947249
2021-08-12,3290.000000,3314.510010,3269.669922,3303.500000,3303.500000,2323823
2021-08-13,3305.669922,3306.064941,3283.000000,3293.969971,3293.969971,2056699
2021-08-16,3283.000000,3300.000000,3211.129883,3298.989990,3298.989990,3328494
2021-08-17,3277.500000,3280.489990,3225.679932,3241.959961,3241.959961,3387922
2021-08-18,3241.989990,3254.097412,3200.000000,3201.219971,3201.219971,2804311
2021-08-19,3194.020020,3233.000000,3182.463623,3187.750000,3187.750000,3782862
2021-08-20,3203.872559,3207.810059,3175.760010,3199.949951,3199.949951,3358428
